ID,FEMALE,ICE_CREAM,VIDEO,PUZZLE
1,1,1,39,41
2,1,2,42,41
3,0,1,63,56
4,1,1,39,51
5,0,1,45,31
6,1,1,40,41
7,0,2,47,51
8,1,1,44,48
9,0,2,44,51
10,1,2,53,61
11,0,2,39,36
12,0,2,39,46
13,1,2,47,61
14,0,3,42,56
15,0,3,26,42
16,0,1,36,36
17,1,2,44,41
18,0,2,44,36
19,1,1,44,51
20,0,3,61,61
21,0,2,50,46
22,0,2,56,46
23,1,1,58,71
24,0,2,47,46
25,1,2,42,36
26,1,3,61,51
27,0,2,57,56
28,1,2,50,41
29,0,1,55,41
30,1,3,34,51
31,1,2,42,56
32,1,3,66,56
33,1,1,54,56
34,1,3,55,66
35,1,1,50,51
36,1,1,35,51
37,1,1,39,51
38,0,1,31,56
39,1,3,61,66
40,0,1,50,41
41,0,2,55,56
42,1,2,44,56
43,1,1,42,46
44,1,1,34,46
45,1,1,29,26
46,1,1,34,41
47,1,1,33,41
48,0,2,50,51
49,0,3,49,47
50,0,2,53,61
51,1,3,31,39
52,1,1,53,66
53,0,2,39,31
54,1,1,50,56
55,1,2,44,61
56,0,2,58,51
57,1,2,66,56
58,0,2,44,41
59,1,2,55,71
60,0,2,63,61
61,1,3,67,66
62,0,3,63,66
63,1,1,56,51
64,1,3,58,36
65,1,2,42,56
66,1,2,50,51
67,0,1,33,32
68,0,2,63,66
69,1,1,40,31
70,0,1,47,57
71,1,2,58,66
72,1,2,47,46
73,1,2,39,56
74,1,2,51,58
75,0,2,53,61
76,0,3,50,56
77,1,1,44,66
78,1,2,53,41
79,1,2,50,51
80,0,3,66,66
81,0,1,65,44
82,1,3,69,61
83,1,2,55,31
84,0,2,58,51
85,0,2,53,46
86,0,3,58,31
87,1,2,50,56
88,1,3,69,66
89,1,1,51,33
90,1,3,50,52
91,1,3,47,46
92,1,3,63,61
93,1,3,58,66
94,0,3,61,56
95,0,3,61,71
96,1,3,58,56
97,0,3,58,61
98,1,1,53,37
99,1,3,66,61
100,1,3,69,71
101,1,3,50,56
102,0,3,53,56
103,0,3,64,61
104,0,3,55,46
105,1,2,44,56
106,1,2,42,41
107,0,1,42,26
108,0,2,36,36
109,1,2,42,41
110,1,2,54,61
111,1,1,47,36
112,1,2,55,61
113,0,2,63,61
114,0,3,55,61
115,0,1,50,56
116,1,2,50,56
117,0,3,42,56
118,1,2,58,61
119,1,1,50,43
120,1,3,50,51
121,1,2,63,61
122,1,2,53,66
123,0,3,63,66
124,1,1,42,41
125,1,1,59,56
126,0,2,47,51
127,0,3,55,56
128,0,3,47,41
129,1,1,47,51
130,1,3,55,46
131,1,3,46,66
132,0,2,69,66
133,0,2,34,31
134,0,1,34,46
135,1,1,54,66
136,0,2,63,51
137,1,3,53,61
138,1,2,50,51
139,1,2,55,71
140,0,2,50,26
141,0,3,53,56
142,1,2,39,51
143,0,2,72,66
144,0,3,61,66
145,1,2,36,46
146,0,3,63,66
147,1,1,53,61
148,1,2,47,61
149,0,1,66,46
150,0,2,72,31
151,1,2,48,46
152,1,3,58,61
153,0,2,39,51
154,0,3,61,66
155,0,2,39,51
156,1,2,61,61
157,0,2,74,66
158,1,2,53,51
159,0,3,49,61
160,1,2,50,61
161,1,1,61,61
162,1,2,61,56
163,1,1,58,56
164,0,2,39,46
165,0,1,61,36
166,1,2,61,51
167,0,2,66,41
168,0,2,55,51
169,0,1,69,46
170,0,3,69,66
171,0,2,55,66
172,0,2,53,61
173,1,1,63,51
174,0,2,66,56
175,1,3,50,41
176,0,2,42,51
177,0,2,58,51
178,0,2,58,46
179,1,2,50,56
180,1,3,58,71
181,0,2,58,61
182,1,2,44,51
183,0,2,55,71
184,1,2,55,56
185,0,2,58,41
186,1,2,55,41
187,1,2,55,52
188,1,3,55,61
189,0,2,53,46
190,1,2,58,46
191,1,3,48,61
192,0,3,66,71
193,1,2,39,51
194,1,3,61,61
195,0,2,58,56
196,0,3,39,46
197,0,3,36,61
198,1,3,63,31
199,0,3,61,61
200,0,2,66,66

